domain,interface,friction,eps_rel,n,scale_S,nominal_agreement,nominal_subopt,tie_adjusted_agreement,tie_adjusted_subopt,num_tie_compatible,num_strict_subopt,median_delta,mean_delta,median_relative_gap,mean_relative_gap,verdict
Event-micro,threshold tau=0.55,0.5,0.0,100,0.12687500000000002,0.31,0.69,0.31,0.69,31,69,0.008124999999999993,0.0113375,0.05795624812706028,0.0991572351656928,stable
Event-micro,threshold tau=0.55,0.5,0.001,100,0.12687500000000002,0.31,0.69,0.31,0.69,31,69,0.008124999999999993,0.0113375,0.05795624812706028,0.0991572351656928,stable
Event-micro,threshold tau=0.55,0.5,0.005,100,0.12687500000000002,0.31,0.69,0.31,0.69,31,69,0.008124999999999993,0.0113375,0.05795624812706028,0.0991572351656928,stable
Event-micro,threshold tau=0.55,1.0,0.0,100,0.08499999999999999,0.01,0.99,0.01,0.99,1,99,0.05250000000000001,0.05745,0.6066666666666667,0.7107696937422329,stable
Event-micro,threshold tau=0.55,1.0,0.001,100,0.08499999999999999,0.01,0.99,0.01,0.99,1,99,0.05250000000000001,0.05745,0.6066666666666667,0.7107696937422329,stable
Event-micro,threshold tau=0.55,1.0,0.005,100,0.08499999999999999,0.01,0.99,0.01,0.99,1,99,0.05250000000000001,0.05745,0.6066666666666667,0.7107696937422329,stable
Inventory replenishment,replenishment,0.5,0.0,100,4.8408648035306525,0.26,0.74,0.26,0.74,26,74,0.20162196258271292,0.2402650844104821,0.04196394948936945,0.04793160488296053,stable
Inventory replenishment,replenishment,0.5,0.001,100,4.8408648035306525,0.26,0.74,0.27,0.73,27,73,0.20162196258271292,0.2402650844104821,0.04196394948936945,0.04793160488296053,stable
Inventory replenishment,replenishment,0.5,0.005,100,4.8408648035306525,0.26,0.74,0.28,0.72,28,72,0.20162196258271292,0.2402650844104821,0.04196394948936945,0.04793160488296053,stable
Inventory replenishment,replenishment,1.0,0.0,100,7.140988001760428,0.01,0.99,0.01,0.99,1,99,1.0451084204742842,1.0286442336571693,0.14823042987269092,0.1417370080973448,stable
Inventory replenishment,replenishment,1.0,0.001,100,7.140988001760428,0.01,0.99,0.01,0.99,1,99,1.0451084204742842,1.0286442336571693,0.14823042987269092,0.1417370080973448,stable
Inventory replenishment,replenishment,1.0,0.005,100,7.140988001760428,0.01,0.99,0.01,0.99,1,99,1.0451084204742842,1.0286442336571693,0.14823042987269092,0.1417370080973448,stable
Load-following,responsive,0.25,0.0,10,0.046105081145770554,0.3,0.7,0.3,0.7,3,7,0.0003510323490410021,0.0006061897473463501,0.007633096478847131,0.012603769932120621,tie-sensitive
Load-following,responsive,0.25,0.001,10,0.046105081145770554,0.3,0.7,0.3,0.7,3,7,0.0003510323490410021,0.0006061897473463501,0.007633096478847131,0.012603769932120621,tie-sensitive
Load-following,responsive,0.25,0.005,10,0.046105081145770554,0.3,0.7,0.5,0.5,5,5,0.0003510323490410021,0.0006061897473463501,0.007633096478847131,0.012603769932120621,tie-sensitive
Load-following,responsive,0.5,0.0,10,0.05770165641709585,0.3,0.7,0.3,0.7,3,7,0.0007924354098381471,0.001154002102638238,0.013658671692019286,0.01970604763565071,stable
Load-following,responsive,0.5,0.001,10,0.05770165641709585,0.3,0.7,0.3,0.7,3,7,0.0007924354098381471,0.001154002102638238,0.013658671692019286,0.01970604763565071,stable
Load-following,responsive,0.5,0.005,10,0.05770165641709585,0.3,0.7,0.3,0.7,3,7,0.0007924354098381471,0.001154002102638238,0.013658671692019286,0.01970604763565071,stable
Load-following,responsive,1.0,0.0,10,0.0808948069597466,0.2,0.8,0.2,0.8,2,8,0.001559474389167849,0.002289040651221419,0.01908240255685395,0.029186415855074005,partially sensitive
Load-following,responsive,1.0,0.001,10,0.0808948069597466,0.2,0.8,0.2,0.8,2,8,0.001559474389167849,0.002289040651221419,0.01908240255685395,0.029186415855074005,partially sensitive
Load-following,responsive,1.0,0.005,10,0.0808948069597466,0.2,0.8,0.3,0.7,3,7,0.001559474389167849,0.002289040651221419,0.01908240255685395,0.029186415855074005,partially sensitive
Traffic Top-(k),k=249,0.5,0.0,100,12.302083333333334,0.0,1.0,0.0,1.0,0,100,6.976934523809523,7.015550595238095,0.5415719903471302,0.5888020278316669,stable
Traffic Top-(k),k=249,0.5,0.001,100,12.302083333333334,0.0,1.0,0.0,1.0,0,100,6.976934523809523,7.015550595238095,0.5415719903471302,0.5888020278316669,stable
Traffic Top-(k),k=249,0.5,0.005,100,12.302083333333334,0.0,1.0,0.0,1.0,0,100,6.976934523809523,7.015550595238095,0.5415719903471302,0.5888020278316669,stable
Traffic Top-(k),k=249,1.0,0.0,100,72.26860119047619,0.0,1.0,0.0,1.0,0,100,24.47321428571429,24.651264880952382,0.337477132185791,0.33954694836468463,stable
Traffic Top-(k),k=249,1.0,0.001,100,72.26860119047619,0.0,1.0,0.0,1.0,0,100,24.47321428571429,24.651264880952382,0.337477132185791,0.33954694836468463,stable
Traffic Top-(k),k=249,1.0,0.005,100,72.26860119047619,0.0,1.0,0.0,1.0,0,100,24.47321428571429,24.651264880952382,0.337477132185791,0.33954694836468463,stable
