ticker,kept,drop_reason,missing_fraction_raw,valid_obs_count,first_valid_date,return_std,max_abs_return,flat_fraction,market_closed_days_removed,market_closed_fraction_removed,total_days_before_drop,total_days_after_drop
AAPL,True,,0.0,2513,2016-01-04,0.018303567028531493,0.15328860338175065,0.002785515320334262,96,0.036795707167497124,2609,2513
AMGN,True,,0.0,2513,2016-01-04,0.015548808884912974,0.11817926319444538,0.001193792280143255,96,0.036795707167497124,2609,2513
AXP,True,,0.0,2513,2016-01-04,0.019984474398570224,0.2188227676724257,0.0015917230401910067,96,0.036795707167497124,2609,2513
BA,True,,0.0,2513,2016-01-04,0.02610677195919989,0.24318605379189218,0.0019896538002387586,96,0.036795707167497124,2609,2513
CAT,True,,0.0,2513,2016-01-04,0.01913818661716722,0.14282193606848037,0.0007958615200955034,96,0.036795707167497124,2609,2513
CRM,True,,0.0,2513,2016-01-04,0.02202487647174224,0.2604488800302349,0.002785515320334262,96,0.036795707167497124,2609,2513
CSCO,True,,0.0,2513,2016-01-04,0.01579499098246015,0.13730352741703022,0.00955033824114604,96,0.036795707167497124,2609,2513
CVX,True,,0.0,2513,2016-01-04,0.018466168481393052,0.2274070848078278,0.00238758456028651,96,0.036795707167497124,2609,2513
DIS,True,,0.0,2513,2016-01-04,0.01795686395508774,0.1441230845102395,0.003581376840429765,96,0.036795707167497124,2609,2513
GS,True,,0.0,2513,2016-01-04,0.01867623927941584,0.17580318914686255,0.0015917230401910067,96,0.036795707167497124,2609,2513
HD,True,,0.0,2513,2016-01-04,0.01551662109144674,0.19793867489651618,0.0019896538002387586,96,0.036795707167497124,2609,2513
HON,True,,0.0,2513,2016-01-04,0.014631669093633736,0.1506837979392506,0.002785515320334262,96,0.036795707167497124,2609,2513
IBM,True,,0.0,2513,2016-01-04,0.015595591923040483,0.12964162739828566,0.002785515320334262,96,0.036795707167497124,2609,2513
INTC,True,,0.0,2513,2016-01-04,0.025359802915123887,0.2605851455985698,0.006764822920811779,96,0.036795707167497124,2609,2513
JNJ,True,,0.0,2513,2016-01-04,0.01156945500816511,0.10037832195473506,0.0031834460803820135,96,0.036795707167497124,2609,2513
JPM,True,,0.0,2513,2016-01-04,0.017376579027852453,0.18012482320454382,0.003979307600477517,96,0.036795707167497124,2609,2513
KO,True,,0.0,2513,2016-01-04,0.011380130351049959,0.09672484413377813,0.00915240748109829,96,0.036795707167497124,2609,2513
MCD,True,,0.0,2513,2016-01-04,0.012823464583656947,0.18125454453498135,0.0031834460803820135,96,0.036795707167497124,2609,2513
MMM,True,,0.0,2513,2016-01-04,0.016429822289615925,0.2299061441941188,0.003581376840429765,96,0.036795707167497124,2609,2513
MRK,True,,0.0,2513,2016-01-04,0.014234935721604202,0.1040801737317234,0.008356545961002786,96,0.036795707167497124,2609,2513
MSFT,True,,0.0,2513,2016-01-04,0.01685674319678832,0.14739041216424575,0.005571030640668524,96,0.036795707167497124,2609,2513
NKE,True,,0.0,2513,2016-01-04,0.01998081490194465,0.1998089015134712,0.005571030640668524,96,0.036795707167497124,2609,2513
PG,True,,0.0,2513,2016-01-04,0.011807039063820088,0.12009057286869118,0.005173099880620772,96,0.036795707167497124,2609,2513
TRV,True,,0.0,2513,2016-01-04,0.01535942673386176,0.2080039564489332,0.003979307600477517,96,0.036795707167497124,2609,2513
UNH,True,,0.0,2513,2016-01-04,0.018304411163053137,0.22379661760952274,0.0019896538002387586,96,0.036795707167497124,2609,2513
V,True,,0.0,2513,2016-01-04,0.015410438435492073,0.13842652232366626,0.003979307600477517,96,0.036795707167497124,2609,2513
VZ,True,,0.0,2513,2016-01-04,0.012513653437728405,0.09270469258451675,0.01193792280143255,96,0.036795707167497124,2609,2513
WBA,False,DOWNLOAD_FAILED,1.0,0,,,,,96,0.036795707167497124,2609,2513
WMT,True,,0.0,2513,2016-01-04,0.013594430004212833,0.11708504542361275,0.0019896538002387586,96,0.036795707167497124,2609,2513
DOW,False,FIRST_DATE_TOO_LATE,0.32113012335853564,1706,2019-03-20,,,,96,0.036795707167497124,2609,2513
