kappa,c_value,n_runs,median_sharpe,iqr_sharpe,median_turnover_exec,collapse_rate
0.0,0.0,1,1.187450341049161,0.0,1.2903205462349414,0.0
0.0,2000.0,1,1.187450341049161,0.0,1.2903205462349414,0.0
0.0,3000.0,1,1.187450341049161,0.0,1.2903205462349414,0.0
0.0,4000.0,1,1.187450341049161,0.0,1.2903205462349414,0.0
0.0,6000.0,1,1.187450341049161,0.0,1.2903205462349414,0.0
0.0,8000.0,1,1.187450341049161,0.0,1.2903205462349414,0.0
0.0,12000.0,1,1.187450341049161,0.0,1.2903205462349414,0.0
0.0005,0.0,1,0.06606346961630015,0.0,1.2903205462349414,0.0
0.0005,2000.0,1,0.9327920613662035,0.0,0.1693647092115196,0.0
0.0005,3000.0,1,1.0199257230741965,0.0,0.11893845606184142,0.0
0.0005,4000.0,1,1.0314193619141763,0.0,0.09177536270074947,0.0
0.0005,6000.0,1,1.0196934448879236,0.0,0.06332562546563521,0.0
0.0005,8000.0,1,1.0105748995566823,0.0,0.04842669238627672,0.0
0.0005,12000.0,1,0.9535330745957811,0.0,0.03320237917916558,0.0
0.001,0.0,1,-1.0528733568800905,0.0,1.2903205462349414,0.0
0.001,2000.0,1,0.9549204275545496,0.0,0.09177536270074947,0.0
0.001,3000.0,1,0.9679433937985797,0.0,0.06332562546563521,0.0
0.001,4000.0,1,0.9709179576373453,0.0,0.04842669238627672,0.0
0.001,6000.0,1,0.925742225210369,0.0,0.03320237917916558,0.0
0.001,8000.0,1,0.8832691521819525,0.0,0.025365426276028943,0.0
0.001,12000.0,1,0.8981127514297929,0.0,0.017368979520940984,0.0
