seed,kappa,eta_main,eta_baseline,run_id,baseline_run_id,delta_sharpe,delta_cagr,delta_maxdd
0,0.0,0.5,1.0,20260402T161422Z_b33421cb_seed0_prl_ab50,20260402T161422Z_b33421cb_seed0_prl_ab50,0.0031530591508452943,0.00048068696628858487,-8.085494833789952e-05
0,0.0005,0.5,1.0,20260402T161422Z_b33421cb_seed0_prl_ab50,20260402T161422Z_b33421cb_seed0_prl_ab50,0.010875367412036319,0.001751347286242294,5.896691770188034e-05
0,0.001,0.5,1.0,20260402T161422Z_b33421cb_seed0_prl_ab50,20260402T161422Z_b33421cb_seed0_prl_ab50,0.018597913122082588,0.0030177566495550034,0.0001987213849674041
1,0.0,0.5,1.0,20260402T164540Z_b33421cb_seed1_prl_5594,20260402T164540Z_b33421cb_seed1_prl_5594,-8.791919845463347e-05,7.033507752049473e-05,-0.00011991154410631588
1,0.0005,0.5,1.0,20260402T164540Z_b33421cb_seed1_prl_5594,20260402T164540Z_b33421cb_seed1_prl_5594,0.007969364249450495,0.0013761309461046978,2.4082466898084354e-05
1,0.001,0.5,1.0,20260402T164540Z_b33421cb_seed1_prl_5594,20260402T164540Z_b33421cb_seed1_prl_5594,0.016025952398495136,0.002677592820683,0.00016800784201309593
2,0.0,0.5,1.0,20260402T171636Z_b33421cb_seed2_prl_fa4e,20260402T171636Z_b33421cb_seed2_prl_fa4e,0.00039692224165932544,5.647336266761949e-05,-0.0001007839160526991
2,0.0005,0.5,1.0,20260402T171636Z_b33421cb_seed2_prl_fa4e,20260402T171636Z_b33421cb_seed2_prl_fa4e,0.008038646373720537,0.0013036037792825972,9.457999858214494e-06
2,0.001,0.5,1.0,20260402T171636Z_b33421cb_seed2_prl_fa4e,20260402T171636Z_b33421cb_seed2_prl_fa4e,0.015680065811589206,0.0025466448463174196,0.00011965565561519731
3,0.0,0.5,1.0,20260402T174810Z_b33421cb_seed3_prl_ba64,20260402T174810Z_b33421cb_seed3_prl_ba64,-0.004152193128751147,-0.0006928284755909064,-4.1104524315715985e-05
3,0.0005,0.5,1.0,20260402T174810Z_b33421cb_seed3_prl_ba64,20260402T174810Z_b33421cb_seed3_prl_ba64,0.002256981727674967,0.0003541113179263977,5.507045901420593e-05
3,0.001,0.5,1.0,20260402T174810Z_b33421cb_seed3_prl_ba64,20260402T174810Z_b33421cb_seed3_prl_ba64,0.00866550292297541,0.0013980965000777168,0.0001512135523397129
4,0.0,0.5,1.0,20260402T181913Z_b33421cb_seed4_prl_de95,20260402T181913Z_b33421cb_seed4_prl_de95,0.0012642320603388768,0.0001640883758929068,-0.00016822228549989715
4,0.0005,0.5,1.0,20260402T181913Z_b33421cb_seed4_prl_de95,20260402T181913Z_b33421cb_seed4_prl_de95,0.008713647334991581,0.0013824978039716218,-6.822044809529082e-05
4,0.001,0.5,1.0,20260402T181913Z_b33421cb_seed4_prl_de95,20260402T181913Z_b33421cb_seed4_prl_de95,0.01616315419788039,0.0025970931627639082,3.17466339626038e-05
