kappa,eta,n_runs,median_sharpe,iqr_sharpe,median_turnover_exec,collapse_rate,arm
0.0,0.02,5,0.987065706003674,0.008787453793276612,0.0005712830243595,0.0,eta_sweep
0.0,0.05,5,0.9860410471620342,0.010924341347690603,0.0013567812151385,0.0,eta_sweep
0.0,0.082,5,0.9857216885782007,0.012945126290029196,0.0021574435863774,0.0,eta_sweep
0.0,0.1,5,0.9856842305969852,0.014019510263574841,0.0025914903755198,0.0,eta_sweep
0.0,0.2,5,0.9852160412476292,0.017555048917606175,0.0048234442175781,0.0,eta_sweep
0.0,0.5,5,0.9805081243085412,0.01715452527070216,0.0106122237870876,0.0,eta_sweep
0.0,1.0,5,0.9815053775835072,0.019611449924403557,0.0216090832016697,0.0,eta_sweep
0.0005,0.02,5,0.9866484876479636,0.008839127421187087,0.0005712830243595,0.0,eta_sweep
0.0005,0.05,5,0.9850358002943356,0.011050774634916771,0.0013567812151385,0.0,eta_sweep
0.0005,0.082,5,0.9841075030633196,0.01314365366303849,0.0021574435863774,0.0,eta_sweep
0.0005,0.1,5,0.9837369704489272,0.014255720606803801,0.0025914903755198,0.0,eta_sweep
0.0005,0.2,5,0.9815282436929722,0.01799265631673963,0.0048234442175781,0.0,eta_sweep
0.0005,0.5,5,0.9720718445756228,0.01805205875958482,0.0106122237870876,0.0,eta_sweep
0.0005,1.0,5,0.9607908731996032,0.01775329180765739,0.0216090832016697,0.0,eta_sweep
0.001,0.02,5,0.9862312689137918,0.008890800794985276,0.0005712830243595,0.0,eta_sweep
0.001,0.05,5,0.9840305507641888,0.011177205630850673,0.0013567812151385,0.0,eta_sweep
0.001,0.082,5,0.9824933112353028,0.01334217461343501,0.0021574435863774,0.0,eta_sweep
0.001,0.1,5,0.9817897017511916,0.014491921318470546,0.0025914903755198,0.0,eta_sweep
0.001,0.2,5,0.977840419565166,0.018430223079933694,0.0048234442175781,0.0,eta_sweep
0.001,0.5,5,0.9636353270552014,0.018949119818930327,0.0106122237870876,0.0,eta_sweep
0.001,1.0,5,0.9400780915526916,0.015894311140950412,0.0216090832016697,0.0,eta_sweep
